time,gFx,gFy,gFz,TgF
470.702158555,-0.0515,0.8844,0.4871,0.998
471.702690091,-0.0452,0.8805,0.4842,0.993
472.702904202,-0.0281,0.8893,0.4768,0.996
473.703119779,-0.0422,0.8912,0.4758,0.998
474.703503528,-0.0427,0.8824,0.4832,0.994
475.703774647,-0.0432,0.8766,0.4672,0.981
476.704198475,-0.0246,0.9001,0.5064,1.020
477.704444569,-0.0247,0.8883,0.4894,1.001
478.704681671,-0.0179,0.8946,0.4782,1.001
479.704895946,-0.0236,0.8976,0.5016,1.015
480.709911978,-0.0344,0.8839,0.4837,0.995
481.707241813,-0.0198,0.8994,0.4762,1.005
482.705860221,-0.0560,0.9009,0.4598,1.000
483.706066968,-0.0336,0.8955,0.4456,0.988
484.70629227,-0.0554,0.8918,0.4944,1.008
485.707017531,-0.0130,0.8716,0.4808,0.982
486.706914138,-0.0490,0.8888,0.5169,1.016
487.707193232,-0.0519,0.8835,0.5076,1.007
488.707373774,-0.0189,0.8784,0.4657,0.981
489.70784342,-0.0520,0.8697,0.4790,0.981
490.708058793,-0.0257,0.8990,0.4763,1.005
491.708254025,-0.0457,0.8794,0.4764,0.988
492.708531369,-0.0272,0.8706,0.4565,0.970
493.716574257,-0.0447,0.8682,0.4741,0.977
494.709103351,-0.0380,0.8691,0.4551,0.969
495.709381142,-0.0471,0.8741,0.4974,0.994
496.709665323,-0.0350,0.8692,0.4692,0.975
497.710129312,-0.0179,0.9038,0.4757,1.009
498.710293416,-0.0378,0.8868,0.5017,1.007
499.710452311,-0.0715,0.9254,0.4733,1.029
500.710640422,-0.0413,0.8721,0.4790,0.983
501.710860475,-0.0256,0.8697,0.5057,0.993
502.711087852,-0.0379,0.8902,0.4779,0.998
503.711325645,-0.0223,0.8872,0.4744,0.993
504.711452883,-0.0495,0.8932,0.5144,1.019
505.7118807,-0.0340,0.8730,0.4771,0.982
506.71209648,-0.0277,0.8832,0.4721,0.989
507.721402836,-0.0311,0.8715,0.4649,0.975
508.712399663,-0.0092,0.8895,0.4754,0.996
509.712729945,-0.0404,0.8695,0.4669,0.975
510.713000657,-0.0267,0.8929,0.4740,0.998
511.713310919,-0.0691,0.8749,0.4972,0.996
512.713503872,-0.0638,0.9217,0.4549,1.017
513.713676236,-0.0687,0.9110,0.4692,1.014
514.713929939,-0.1889,1.0010,0.2267,1.033
515.714045459,-0.0866,0.9225,0.3508,0.979
516.714149707,-0.1254,1.0220,0.2536,1.050
517.714644093,-0.1119,0.8762,0.3882,0.953
518.714681528,-0.0878,0.9329,0.4330,1.020
519.714896983,-0.1290,0.9416,0.3649,1.006
520.724908132,-0.1367,0.8864,0.3834,0.964
521.71548996,-0.0765,0.9764,0.4478,1.064
522.715730439,-0.0230,0.8444,0.4428,0.941
523.715788627,-0.0413,0.8920,0.5023,1.012
524.718373344,0.0021,0.9180,0.3515,0.971
525.71649277,-0.0437,1.0289,0.3308,1.070
526.716558892,-0.0405,0.9582,0.5934,1.115
527.716761326,-0.1175,0.8759,0.4617,0.985
528.717211969,0.0394,0.8488,0.4240,0.936
529.717460098,-0.0372,0.8859,0.3898,0.956
530.717732803,-0.1353,0.8601,0.3723,0.935
531.717788061,-0.0415,0.6787,0.3306,0.743
532.717950415,-0.0026,0.8447,0.5591,0.999
533.718694841,0.0406,1.0013,0.4759,1.096
534.71869065,-0.0139,0.9278,0.3617,0.984
535.731561378,0.0393,0.9068,0.3860,0.973
536.719131203,-0.0106,0.8584,0.3549,0.916
537.719313414,-0.1828,0.9339,0.6018,1.114
538.719612527,-0.0433,0.9818,0.4612,1.073
